no,?⑥뼱,???깃툒,蹂??,蹂??,,,,,
500,clean,泥?껐??珥덈벑,,,,,,,
501,clear,留묒?,珥덈벑,,,,,,
502,clerk,?쒓린,珥덈벑,,,,,,
503,clever,?곷━??珥덈벑,,,,,,,
504,client,?뚯넚?섎ː??以묎퀬,,,,,,,
505,cliff,?덈꼍,以묎퀬,,,,,,
506,climate,湲고썑,以묎퀬,,,,,,
507,climb,湲곗뼱 ?ㅻⅤ??珥덈벑,,,,,,,
508,cling,諛李⑺븯??以묎퀬,,,,,,,
509,clinic,蹂묒썝,以묎퀬,,,,,,
510,clip,媛?꾨줈 ?먮Ⅴ??珥덈벑,,,,,,,
511,clock,?쒓퀎,珥덈벑,,,,,,
512,close,?ル떎,珥덈벑,,,,,,
513,cloth,泥?珥덈벑,,,,,,,
514,cloud,援щ쫫,珥덈벑,,,,,,
515,club,?대읇,珥덈벑,,,,,,
516,clue,?⑥꽌,以묎퀬,,,,,,
517,cluster,??以묎퀬,,,,,,,
518,coach,??쭏李?以묎퀬,,,,,,,
519,coal,?앺깂,以묎퀬,,,,,,
520,coast,?곗븞,以묎퀬,,,,,,
521,code,踰뺤쟾,以묎퀬,,,,,,
522,coin,?뷀룓,珥덈벑,,,,,,
523,coincide,?쇱튂?섎떎,以묎퀬,,,,,,
524,cold,異붿슫,珥덈벑,,,,,,
525,collaborate,怨듬룞?쇰줈 ?쇳븯??以묎퀬,,,,,,,
526,collapse,遺뺢눼,以묎퀬,,,,,,
527,collar,移쇰씪,以묎퀬,,,,,,
528,colleague,?숇즺,以묎퀬,,,,,,
529,collect,紐⑥쑝??珥덈벑,,,,,,,
530,college,?④낵???珥덈벑,,,,,,,
531,colony,?앸?吏,以묎퀬,,,,,,
532,color,李⑹깋?섎떎,珥덈벑,colour,,,,,
533,column,(?좊Ц ?깆쓽)??以묎퀬,,,,,,,
534,combat,寃⑺닾?섎떎,以묎퀬,,,,,,
535,combine,寃고빀?섎떎,以묎퀬,,,,,,
536,come,?ㅻ떎,珥덈벑,,,,,,
537,comedy,?ш레,珥덈벑,,,,,,
538,comfort,?꾩븞,以묎퀬,,,,,,
539,command,紐낅졊?섎떎,以묎퀬,,,,,,
540,commence,?쒖옉?섎떎,?꾨Ц,,,,,,
541,comment,?쇳룊,以묎퀬,,,,,,
542,commerce,?곸뾽,以묎퀬,,,,,,
543,commission,?꾩엫,以묎퀬,,,,,,
544,commit,?꾪긽?섎떎,以묎퀬,,,,,,
545,committee,?꾩썝??以묎퀬,,,,,,,
546,commodity,?곹뭹,?꾨Ц,,,,,,
547,communicate,?뚮━??以묎퀬,,,,,,,
548,communist,怨듭궛二쇱쓽??以묎퀬,,,,,,,
549,community,怨듬룞?앺솢泥?以묎퀬,,,,,,,
550,companion,?숇즺,以묎퀬,,,,,,
551,company,援먯젣,珥덈벑,,,,,,
552,compare,鍮꾧탳?섎떎,以묎퀬,,,,,,
553,compatible,?묐┰?????덈뒗,?꾨Ц,,,,,,
554,compel,?듭?濡?-?쒗궎???꾨Ц,,,,,,,
555,compensate,諛곗긽?섎떎,?꾨Ц,,,,,,
556,compete,寃쎌웳?섎떎,以묎퀬,,,,,,
557,competent,?λ젰?덈뒗,以묎퀬,,,,,,
558,compile,?몄갔?섎떎,?꾨Ц,,,,,,
559,complain,遺덊룊?섎떎,以묎퀬,,,,,,
560,complement,蹂댁셿?섎뒗 寃?以묎퀬,,,,,,,
561,complete,?꾩꽦?섎떎,以묎퀬,,,,,,
562,complex,?⑹꽦臾?以묎퀬,,,,,,,
563,complicate,蹂듭옟?섍쾶 ?섎떎,以묎퀬,,,,,,
564,component,援ъ꽦?섎뒗 ?깅텇,?꾨Ц,,,,,,
565,compose,援ъ꽦?섎떎,以묎퀬,,,,,,
566,compound,?깅텇 ?깆쓣 ?쇳빀?섎떎,?꾨Ц,,,,,,
567,comprehensive,?댄빐?μ엳??以묎퀬,,,,,,,
568,comprise,?ы븿?섎떎,?꾨Ц,,,,,,
569,compromise,?????묓븯???꾨Ц,,,,,,,
570,compulsory,?섎Т?곸씤,?꾨Ц,,,,,,
571,conceal,?④린??以묎퀬,,,,,,,
572,conceive,?곸긽?섎떎,?꾨Ц,,,,,,
573,concentrate,吏묒쨷?섎떎,以묎퀬,,,,,,
574,concept,媛쒕뀗,以묎퀬,,,,,,
575,concern,愿怨꾪븯??以묎퀬,,,,,,,
576,concert,?곗＜??珥덈벑,,,,,,,
577,conclude,寃곗젙?섎떎,以묎퀬,,,,,,
578,concrete,援ъ껜?곸씤 ?묎퀬臾?以묎퀬,,,,,,,
579,condemn,?섎Т?쇰떎,?꾨Ц,,,,,,
580,condition,議곌굔,珥덈벑,,,,,,
581,conduct,?됱쐞 ?대걣??以묎퀬,,,,,,,
582,confer,二쇰떎,?꾨Ц,,,,,,
583,confess,?ㅽ넗?섎떎,以묎퀬,,,,,,
584,confident,?뺤떊?섎뒗,以묎퀬,,,,,,
585,confine,援?꼍,以묎퀬,,,,,,
586,confirm,?뺤씤?섎떎,以묎퀬,,,,,,
587,conflict,?ъ웳,以묎퀬,,,,,,
588,conform,?쇱튂?쒗궎??以묎퀬,,,,,,,
589,confront,吏곷㈃?섎떎,以묎퀬,,,,,,
590,confuse,?쇰??쒗궎??以묎퀬,,,,,,,
591,congratulate,異뺥븯?섎떎,珥덈벑,,,,,,
592,congress,?뚯쓽,以묎퀬,,,,,,
593,connect,?뉖떎 ?댁뼱吏??以묎퀬,,,,,,,
594,conscience,?묒떖,以묎퀬,,,,,,
595,conscious,?섏떇?곸씤,以묎퀬,,,,,,
596,consensus,(?섍껄 ?깆쓽)?쇱튂,?꾨Ц,,,,,,
597,consent,?밸굺?섎떎,?꾨Ц,,,,,,
598,conserve,蹂댁〈?섎떎,?꾨Ц,,,,,,
599,consider,?숆퀬?섎떎,以묎퀬,,,,,,
600,consist,-?쇰줈 ?대（?댁???以묎퀬,,,,,,,
601,consistent,?쒖쥌?쇨???以묎퀬,,,,,,,
602,constant,遺덈???以묎퀬,,,,,,,
603,constitute,援ъ꽦?섎떎,?꾨Ц,,,,,,
604,constrain,媛뺤젣?섎떎,?꾨Ц,,,,,,
605,construct,嫄댁“?섎떎,以묎퀬,,,,,,
606,consult,?곸쓽?섎떎,以묎퀬,,,,,,
607,consume,?뚮퉬?섎떎,以묎퀬,,,,,,
608,contact,?묒큺,以묎퀬,,,,,,
609,contain,?댄룷?섎떎,以묎퀬,,,,,,
610,contemporary,?꾨????꾨Ц,,,,,,,
611,contend,?몄슦???꾨Ц,,,,,,,
612,content,留뚯”?섏뿬,以묎퀬,,,,,,
613,contest,寃⑤（??珥덈벑,,,,,,,
614,context,臾몃㎘,以묎퀬,,,,,,
615,continent,?먯젣?ъ씠 ?덈뒗,以묎퀬,,,,,,
616,continue,怨꾩냽?섎떎,以묎퀬,,,,,,
617,contract,怨꾩빟,以묎퀬,,,,,,
618,contradict,諛섎컯?섎떎,?꾨Ц,,,,,,
619,contrary,諛섎???諛섎? 嫄곌씀濡?以묎퀬,,,,,,,
620,contrast,?議?以묎퀬,,,,,,,
621,contribute,湲곕??섎떎,以묎퀬,,,,,,
622,control,?듭젣?섎떎,珥덈벑,,,,,,
623,controversy,?쇱웳,以묎퀬,,,,,,
624,convenient,?몃━??以묎퀬,,,,,,,
625,convention,愿濡,?꾨Ц,,,,,,
626,conversation,?뚰솕,以묎퀬,,,,,,
627,convert,諛붽씀???꾨Ц,,,,,,,
628,convey,?섎Ⅴ??以묎퀬,,,,,,,
629,convict,?좎즲濡??먭껐?섎떎 二꾩닔,以묎퀬,,,,,,
630,convince,?뺤떊?쒗궎??以묎퀬,,,,,,,
631,cook,?붾━?섎떎 ?붾━??珥덈벑,,,,,,,
632,cookie,荑좏궎,珥덈벑,cooky,,,,,
633,cool,?쒕뒛??珥덈벑,,,,,,,
634,cooperate,?묐룞?섎떎,以묎퀬,,,,,,
635,coordinate,?숆꺽???꾨Ц,,,,,,,
636,cop,?쒓꼍,以묎퀬,,,,,,
637,cope,肄붿슦???깆쭅?먯쓽 湲?寃됱샆),以묎퀬,,,,,,
638,copy,?щ낯,珥덈벑,,,,,,
639,copyright,?먭텒,以묎퀬,,,,,,
640,cord,諛㏃쨪,以묎퀬,,,,,,
641,core,?듭떖,以묎퀬,,,,,,
642,corn,?곕늿,以묎퀬,,,,,,
643,corner,紐⑦뎮??珥덈벑,,,,,,,
644,corporate,踰뺤씤議곗쭅??以묎퀬,,,,,,,
645,correct,?녹?,以묎퀬,,,,,,
646,correspond,?쇱튂?섎떎,以묎퀬,,,,,,
647,corridor,蹂듬룄,?꾨Ц,,,,,,
648,corrupt,??쏀븳,以묎퀬,,,,,,
649,cost,媛寃?珥덈벑,,,,,,,
650,costume,蹂듭옣,以묎퀬,,,,,,
651,cottage,?쒓낏吏?以묎퀬,,,,,,,
652,cotton,紐⑺솕,珥덈벑,,,,,,
653,couch,移⑤?,以묎퀬,,,,,,
654,cough,湲곗묠 湲곗묠???섎떎 湲곗묠???섏뿬 -??諭됱뼱?대떎,以묎퀬,,,,,,
655,could,aucan??怨쇨굅,珥덈벑,,,,,,
656,council,?뚯쓽,以묎퀬,,,,,,
657,counsel,?섎끉,以묎퀬,,,,,,
658,count,怨꾩궛,以묎퀬,,,,,,
659,counter,怨꾩궛?섎뒗 ?щ엺,以묎퀬,,,,,,
660,counterpart,遺蹂??꾨Ц,,,,,,,
661,country,?섎씪,珥덈벑,,,,,,
662,countryside,?쒓낏,珥덈벑,,,,,,
663,county,二??꾨Ц,,,,,,,
664,couple,????珥덈벑,,,,,,,
665,courage,?⑷린,以묎퀬,,,,,,
666,cousin,?ъ큿,珥덈벑,,,,,,
667,cover,??떎,珥덈벑,,,,,,
668,cow,?꾪삊?섎떎 ?붿냼,珥덈벑,,,,,,
669,cowboy,紐⑸룞,以묎퀬,,,,,,
670,crack,李곗떦 ?뚮━?대떎 湲덇????좎뭅濡쒖슫?뚮━,以묎퀬,,,,,,
671,craft,?쒖뵪,以묎퀬,,,,,,
672,crash,?꾩궛,以묎퀬,,,,,,
673,crawl,?ㅻ컻濡?湲곕떎,以묎퀬,,,,,,
674,crazy,誘몄튇,珥덈벑,,,,,,
675,create,李쎌“?섎떎,以묎퀬,,,,,,
676,creature,李쎌“臾?以묎퀬,,,,,,,
677,credible,誘우쓣 ???덈뒗,以묎퀬,,,,,,
678,credit,?좎슜,以묎퀬,,,,,,
679,creek,?쒕궡,?꾨Ц,,,,,,
680,creep,湲곕떎,?꾨Ц,,,,,,
681,crew,?밸Т??以묎퀬,,,,,,,
682,cricket,?щ━耳?以묎퀬,,,,,,,
683,crime,踰붿즲,以묎퀬,,,,,,
684,criminal,二꾩쓽,以묎퀬,,,,,,
685,crisis,?꾧린,以묎퀬,,,,,,
686,crisp,?뚯궘?뚯궘??以묎퀬,,,,,,,
687,criteria,criterion??蹂듭닔???꾨Ц,,,,,,,
688,critic,鍮꾪룊媛,以묎퀬,,,,,,
689,criticize,鍮꾪룊?섎떎,以묎퀬,criticise,,,,,
690,criticism,鍮꾪룊,以묎퀬,,,,,,
691,crop,?섑솗,以묎퀬,,,,,,
692,cross,??옄??珥덈벑,,,,,,,
693,crowd,援곗쨷,珥덈벑,,,,,,
694,crown,?뺢?,珥덈벑,,,,,,
695,crucial,寃곗젙?곸씤,以묎퀬,,,,,,
696,cruel,?붿씤??以묎퀬,,,,,,,
697,cruise,?쒗빆?섎떎,以묎퀬,,,,,,
698,crush,?뚮윭 遺?섎떎,以묎퀬,,,,,,
699,cry,?뚮━移섎떎,珥덈벑,,,,,,
700,crystal,?섏젙,以묎퀬,,,,,,
701,cultivate,寃쎌옉?섎떎,以묎퀬,,,,,,
702,culture,臾명솕,珥덈벑,,,,,,
703,cupboard,李ъ옣,以묎퀬,,,,,,
704,cure,移섎즺,以묎퀬,,,,,,
705,curious,?댁긽?ㅻ윭??珥덈벑,,,,,,,
706,curl,怨깆뒳癒몃━ 癒몃━?몄쓣 吏吏??以묎퀬,,,,,,,
707,currency,?듭슜,?꾨Ц,,,,,,
708,current,?좏뻾??以묎퀬,,,,,,,
709,curriculum,怨쇰ぉ,?꾨Ц,,,,,,
710,curry,移대젅?붾━ 移대젅濡?留쏆쓣 ?대떎,以묎퀬,,,,,,
711,curse,?二??꾨Ц,,,,,,,
712,curtain,而ㅼ뼱??珥덈벑,,,,,,,
713,curve,怨≪꽑,以묎퀬,,,,,,
714,custody,蹂댄샇,?꾨Ц,,,,,,
715,custom,?듦?,以묎퀬,,,,,,
716,customer,怨좉컼,珥덈벑,,,,,,
717,cut,踰좊떎,珥덈벑,,,,,,
718,cute,洹?ъ슫,珥덈벑,,,,,,
719,cycle,?쒗솚,珥덈벑,,,,,,
720,cynical,?됱냼?곸씤,?꾨Ц,,,,,,
721,dad,?꾨튌,珥덈벑,,,,,,
722,dairy,?숇냽??以묎퀬,,,,,,,
723,dam,??以묎퀬,,,,,,,
724,damage,?먰빐,以묎퀬,,,,,,
725,damp,異뺤텞???듦린 ?곸떆??以묎퀬,,,,,,,
726,dance,?꾩뒪,珥덈벑,,,,,,
727,danger,?꾪뿕,珥덈벑,,,,,,
728,dare,au媛먰엳 -?섎떎,以묎퀬,,,,,,
729,dark,?대몢??珥덈벑,,,,,,,
730,darling,洹?ъ슫,以묎퀬,,,,,,
731,dash,?뚯쭊,以묎퀬,,,,,,
732,database,?곗씠?곕쿋?댁뒪,以묎퀬,,,,,,
733,date,?좎쭨,珥덈벑,,,,,,
734,daughter,??珥덈벑,,,,,,,
735,dawn,?덈꼍 ?좎씠 ?덈떎,以묎퀬,,,,,,
736,day,??珥덈벑,,,,,,,
737,dead,二쎌?,珥덈벑,,,,,,
738,deal,??以묎퀬,,,,,,,
739,death,二쎌쓬,珥덈벑,,,,,,
740,debate,?좊줎 ?좊줎?섎떎,以묎퀬,,,,,,
741,debt,鍮?以묎퀬,,,,,,,
742,decade,10?꾧컙,以묎퀬,,,,,,
743,decay,?좏눜?섎떎,以묎퀬,,,,,,
744,decent,?먯옏?,?꾨Ц,,,,,,
745,decide,寃곗젙?섎떎,珥덈벑,,,,,,
746,decision,寃곗젙,以묎퀬,,,,,,
747,deck,媛묓뙋,以묎퀬,,,,,,
748,declare,?좎뼵?섎떎,以묎퀬,,,,,,
749,decline,湲곗슱??以묎퀬,,,,,,,
750,decorate,?μ떇?섎떎,以묎퀬,,,,,,
751,decrease,媛먯냼?섎떎,以묎퀬,,,,,,
752,dedicate,遊됰궔?섎떎,?꾨Ц,,,,,,
753,deep,源딆?,珥덈벑,,,,,,
754,defeat,?⑤같,以묎퀬,,,,,,
755,defense,諛⑹뼱,以묎퀬,defence,,,,,
756,defend,諛⑹뼱?섎떎,以묎퀬,,,,,,
757,defendant,?쇨퀬 ?쇨퀬??以묎퀬,,,,,,,
758,deficiency,寃고븤,?꾨Ц,,,,,,
759,deficit,寃곗넀,?꾨Ц,,,,,,
760,define,?뺤쓽?섎떎,以묎퀬,,,,,,
761,definite,?쇱젙??以묎퀬,,,,,,,
762,degrade,吏?꾨? ??텛???꾨Ц,,,,,,,
763,degree,??以묎퀬,,,,,,,
764,delay,??텛??以묎퀬,,,,,,,
765,delegate,?뚭껄?섎떎,?꾨Ц,,,,,,
766,delete,??젣?섎떎,以묎퀬,,,,,,
767,deliberate,?숆퀬?섎떎,?꾨Ц,,,,,,
768,delicate,誘몃쵖??以묎퀬,,,,,,,
769,delicious,留쏆엳??珥덈벑,,,,,,,
770,delight,利먭쾪寃뚰븯??利먭굅?뚰븯??以묎퀬,,,,,,,
771,deliver,?몃룄?섎떎,以묎퀬,,,,,,
772,demand,?붽뎄?섎떎,以묎퀬,,,,,,
773,democracy,誘쇱＜二쇱쓽,以묎퀬,,,,,,
774,democrat,誘쇱＜二쇱쓽??以묎퀬,,,,,,,
775,demon,?낅쭏,以묎퀬,,,,,,
776,demonstrate,利앸챸?섎떎,以묎퀬,,,,,,
777,dense,吏숈?,以묎퀬,,,,,,
778,dentist,移섍낵?섏궗,珥덈벑,,,,,,
779,deny,遺?뺥븯??以묎퀬,,,,,,,
780,department,遺,以묎퀬,,,,,,
781,departure,異쒕컻,以묎퀬,,,,,,
782,depend,醫뚯슦?섎떎,以묎퀬,,,,,,
783,dependence,醫낆냽,以묎퀬,,,,,,
784,depict,臾섏궗?섎떎,?꾨Ц,,,,,,
785,deposit,?덇툑,?꾨Ц,,,,,,
786,depress,?듭븬?섎떎,以묎퀬,,,,,,
787,deprive,鍮쇱븮???꾨Ц,,,,,,,
788,derive,?대걣???대떎,以묎퀬,,,,,,
789,descend,?대젮?ㅻ떎,以묎퀬,,,,,,
790,describe,湲곗닠?섎떎,以묎퀬,,,,,,
791,description,?쒖닠,以묎퀬,,,,,,
792,desert,踰꾨━??以묎퀬,,,,,,,
793,deserve, -??留뚰븯??以묎퀬,,,,,,,
794,design,?붿옄??珥덈벑,,,,,,,
795,designate,媛由ы궎???꾨Ц,,,,,,,
796,desire,諛붾씪??以묎퀬,,,,,,,
797,desk,梨낆긽,珥덈벑,,,,,,
798,despair,?덈쭩?섎떎,以묎퀬,,,,,,
799,desperate,?덈쭩?곸씤,以묎퀬,,,,,,
800,despite,-?먮룄 遺덇뎄?섍퀬 紐⑥슃,以묎퀬,,,,,,
801,destination,紐⑹쟻吏,以묎퀬,,,,,,
802,destiny,?대챸,以묎퀬,,,,,,
803,destroy,?뚭눼?섎떎,以묎퀬,,,,,,
804,destruction,?뚭눼,以묎퀬,,,,,,
805,detach,遺꾨━?섎떎,以묎퀬,,,,,,
806,detail,?곸꽕,以묎퀬,,,,,,
807,detect,媛꾪뙆?섎떎,以묎퀬,,,,,,
808,determine,寃곗젙?섎떎,以묎퀬,,,,,,
809,develop,諛쒕떖?섎떎,以묎퀬,,,,,,
810,device,怨좎븞,以묎퀬,,,,,,
811,devil,?낅쭏,以묎퀬,,,,,,
812,devise,怨좎븞?섎떎,以묎퀬,,,,,,
813,devote,諛붿튂??以묎퀬,,,,,,,
814,diabetes,?밸눊蹂??꾨Ц,,,,,,,
815,dialogue,???珥덈벑,dialog,,,,,,
816,diary,?쇨린,珥덈벑,,,,,,
817,dictate,諛쏆븘?곌쾶 ?섎떎,?꾨Ц,,,,,,
818,dictionary,?ъ쟾,以묎퀬,,,,,,
819,die,二쎈떎,珥덈벑,,,,,,
820,different,?ㅻⅨ,珥덈벑,,,,,,
821,difficult,怨ㅻ???珥덈벑,,,,,,,
822,dig,?뚮떎,以묎퀬,,,,,,
823,dignity,?꾩뾼,?꾨Ц,,,,,,
824,dimension,移섏닔,?꾨Ц,,,,,,
825,diminish,媛먯냼?섎떎,以묎퀬,,,,,,
826,dine,??곸떇?щ? ?섎떎,?꾨Ц,,,,,,
827,dinner,?뺤갔,珥덈벑,,,,,,
828,dip,?닿렇??以묎퀬,,,,,,,
829,diplomat,?멸탳愿,以묎퀬,,,,,,
830,direct,吏?꾪븯??以묎퀬,,,,,,,
831,dirty,?붾윭??珥덈벑,,,,,,,
832,disabled,遺덇뎄媛 ??以묎퀬,,,,,,,
833,disadvantage,遺덈━,以묎퀬,,,,,,
834,disagree,?쇱튂?섏? ?딅떎,以묎퀬,,,,,,
835,disappear,?덈낫?닿쾶 ?섎떎,以묎퀬,,,,,,
836,disappoint,?ㅻ쭩?쒗궎??以묎퀬,,,,,,,
837,disaster,泥쒖옱,以묎퀬,,,,,,
838,discharge,吏먯쓣遺由щ떎,?꾨Ц,,,,,,
839,discipline,?덈젴,以묎퀬,,,,,,
840,disclose,?섑??대떎,以묎퀬,,,,,,
841,discount,?좎씤,以묎퀬,,,,,,
842,discourse,媛뺤뿰,?꾨Ц,,,,,,
843,discover,諛쒓껄?섎떎,以묎퀬,,,,,,
844,discriminate,遺꾨퀎?섎떎,?꾨Ц,,,,,,
845,discuss,?좊줎?섎떎,珥덈벑,,,,,,
846,disease,蹂?以묎퀬,,,,,,,
847,disgust,遺덉풄?섍쾶 ?섎떎,以묎퀬,,,,,,
848,dish,?묒떆,珥덈벑,,,,,,
849,dismiss,?좊굹寃??섎떎,以묎퀬,,,,,,
850,disorder,?쒖옟,以묎퀬,,,,,,
851,displace,諛붽씀?대넃???꾨Ц,,,,,,,
852,display,蹂댁씠??以묎퀬,,,,,,,
853,dispose,諛곗뿴?섎떎,以묎퀬,,,,,,
854,dispute,?쇱웳?섎떎,?꾨Ц,,,,,,
855,disrupt,遺꾩뿴?쒗궎???꾨Ц,,,,,,,
856,distant,?⑥뼱吏?以묎퀬,,,,,,,
857,distort,李뚭렇?щ쑉由щ떎,?꾨Ц,,,,,,
858,distract,?꾪솚?쒗궎??以묎퀬,,,,,,,
859,distribute,遺꾨같?섎떎,以묎퀬,,,,,,
860,district,吏援?以묎퀬,,,,,,,
861,disturb,援먮??섎떎,以묎퀬,,,,,,
862,dive,?곗뼱?ㅻ떎,以묎퀬,,,,,,
863,diverse,?ㅼ뼇??以묎퀬,,,,,,,
864,divide,?섎늻??珥덈벑,,,,,,,
865,divine,?좎쓽,?꾨Ц,,,,,,
866,divorce,?댄샎,以묎퀬,,,,,,
867,do,?섎떎,珥덈벑,,,,,,
868,doctor,諛뺤궗,珥덈벑,,,,,,
869,document,?쒕쪟,以묎퀬,,,,,,
870,dog,媛?珥덈벑,,,,,,,
871,doll,?명삎,珥덈벑,,,,,,
872,dolphin,?뚭퀬??珥덈벑,,,,,,,
873,domain,?곹넗,以묎퀬,,,,,,
874,domestic,媛?뺤쓽,以묎퀬,,,,,,
875,dominant,?곗꽭???꾨Ц,,,,,,,
876,donate,利앹뿬?섎떎,以묎퀬,,,,,,
877,door,臾?珥덈벑,,,,,,,
878,dose,1?뚮났?⑸웾 ?ъ빟?섎떎,?꾨Ц,,,,,,
879,dot,??以묎퀬,,,,,,,
880,double,2諛곗쓽,珥덈벑,,,,,,
881,doubt,?섏떖,以묎퀬,,,,,,
882,down,?꾨옒濡?珥덈벑,,,,,,,
883,dozen,1?ㅼ뒪,以묎퀬,,,,,,
884,draft,珥덇퀬,?꾨Ц,,,,,,
885,drag,?뚮떎,以묎퀬,,,,,,
886,drain,諛곗닔?섎떎,?꾨Ц,,,,,,
887,draw,?밴린??珥덈벑,,,,,,,
888,drawer,?쒕룄??以묎퀬,,,,,,,
889,dread,?먮젮?뚰븯???먮젮?,?꾨Ц,,,,,,
890,dream,轅?珥덈벑,,,,,,,
891,drink,留덉떆??珥덈벑,,,,,,,
892,drive,?댁쟾?섎떎,珥덈벑,,,,,,
893,drop,諛⑹슱,珥덈벑,,,,,,
894,drown,臾쇱뿉鍮좊쑉由щ떎,以묎퀬,,,,,,
895,drug,?쎌젣,以묎퀬,,,,,,
896,dry,留덈Ⅸ,珥덈벑,,,,,,
897,dual,?섏쓽,?꾨Ц,,,,,,
898,duck,癒몃━瑜?臾??띿뿉 ??爾먮컯??珥덈벑,,,,,,,
899,due,吏湲됯린?쇱씠 ??以묎퀬,,,,,,,
900,dull,?뷀븳,以묎퀬,,,,,,
901,dump,?대쾭由щ떎,以묎퀬,,,,,,
902,during,-?숈븞??珥덈벑,,,,,,,
903,dust,癒쇱?,以묎퀬,,,,,,
904,duty,?섎Т,以묎퀬,,,,,,
905,dwell,嫄곗＜?섎떎,以묎퀬,,,,,,
906,dynamic,?숈쟻??以묎퀬,,,,,,,
907,each,媛곴컖??以묎퀬,,,,,,,
908,eager,?댁떖??以묎퀬,,,,,,,
909,ear,洹,珥덈벑,,,,,,
910,early,?대Ⅸ,珥덈벑,,,,,,
911,earn,?쇳븯??踰뚮떎,以묎퀬,,,,,,
912,earth,吏援?珥덈벑,,,,,,,
913,ease,?덈씫,以묎퀬,,,,,,
914,east,?숈そ ?숈そ???숈そ?쇰줈,珥덈벑,,,,,,
915,easy,?ъ슫,珥덈벑,,,,,,
916,eat,癒밸떎,珥덈벑,,,,,,
917,economy,?덉빟,以묎퀬,,,,,,
918,edge,?앸㉧由?以묎퀬,,,,,,,
919,edit,?몄쭛?섎떎,以묎퀬,,,,,,
920,educate,援먯쑁?섎떎,以묎퀬,,,,,,
921,effect,寃곌낵,以묎퀬,,,,,,
922,effective,?④낵?곸씤,以묎퀬,,,,,,
923,efficient,?λ쪧?곸씤,以묎퀬,,,,,,
924,effort,?몃젰,以묎퀬,,,,,,
925,egg,??珥덈벑,,,,,,,
926,either,?대뒓 ?섎굹??以묎퀬,,,,,,,
927,elaborate,怨듬뱾???꾨Ц,,,,,,,
928,elect,?좉굅?섎떎,以묎퀬,,,,,,
929,electric,?꾧린??以묎퀬,,,,,,,
930,electronic,?꾩옄(????以묎퀬,,,,,,,
931,elegant,?곗븘??以묎퀬,,,,,,,
932,element,?붿냼,以묎퀬,,,,,,
933,elementary,湲곕낯??珥덈벑,,,,,,,
934,elephant,肄붾겮由?珥덈벑,,,,,,,
935,eliminate,?쒓굅?섎떎,以묎퀬,,,,,,
936,else,洹?諛뽰뿉,以묎퀬,,,,,,
937,embarrass,?쒖쿂?섍쾶 ?섎떎,以묎퀬,,,,,,
938,embassy,??ш?,以묎퀬,,,,,,
939,embrace,?ъ샊?섎떎,?꾨Ц,,,,,,
940,emerge,?섏삤??以묎퀬,,,,,,,
941,emergency,鍮꾩긽?ы깭,以묎퀬,,,,,,
942,emit,諛⑹궗?섎떎,?꾨Ц,,,,,,
943,emotion,媛먯젙,以묎퀬,,,,,,
944,emphasis,媛뺤“,以묎퀬,,,,,,
945,empire,?쒓뎅,以묎퀬,,,,,,
946,employ,怨좎슜?섎떎,以묎퀬,,,,,,
947,empty,鍮?以묎퀬,,,,,,,
948,enclose,?먯썙?몃떎,以묎퀬,,,,,,
949,encounter,議곗슦,以묎퀬,,,,,,
950,encourage,?⑷린瑜??뗭슦??以묎퀬,,,,,,,
951,end,??珥덈벑,,,,,,,
952,endure,寃щ뵒??以묎퀬,,,,,,,
953,enemy,??以묎퀬,,,,,,,
954,enforce,?ㅼ떆?섎떎,?꾨Ц,,,,,,
955,engage,?쎌냽?섎떎,以묎퀬,,,,,,
956,engine,?붿쭊,珥덈벑,,,,,,
957,engineer,湲곗궗,珥덈벑,,,,,,
958,enhance,?μ긽?섎떎,以묎퀬,,,,,,
959,enjoy,利먭린??珥덈벑,,,,,,,
960,enormous,嫄곕???以묎퀬,,,,,,,
961,enough,異⑸텇??珥덈벑,,,,,,,
962,enroll,紐낅????щ━???꾨Ц,enrol,,,,,,
963,ensure,-??梨낆엫吏??以묎퀬,,,,,,,
964,enter,?ㅼ뼱媛??珥덈벑,,,,,,,
965,enterprise,湲고쉷,以묎퀬,,,,,,
966,entertain,利먭쾪寃??섎떎,以묎퀬,,,,,,
967,enthusiastic,?댁떖??以묎퀬,,,,,,,
968,entire,?꾩껜??以묎퀬,,,,,,,
969,entitle,?먭꺽??二쇰떎,?꾨Ц,,,,,,
970,entry,?ㅼ뼱媛?以묎퀬,,,,,,,
971,envelope,遊됲닾,以묎퀬,,,,,,
972,environment,?섍꼍,以묎퀬,,,,,,
973,envy,吏덊닾,以묎퀬,,,,,,
974,episode,?쏀솕,以묎퀬,,,,,,
975,equal,媛숈?,以묎퀬,,,,,,
976,equate,媛숆쾶?섎떎,?꾨Ц,,,,,,
977,equipment,?λ퉬,以묎퀬,,,,,,
978,era,?쒕?,以묎퀬,,,,,,
979,eraser,吏?곕뒗 ?щ엺,珥덈벑,,,,,,
980,erect,?묐컮濡????꾨Ц,,,,,,,
981,error,?섎せ,珥덈벑,,,,,,
982,escape,?꾨쭩?섎떎,以묎퀬,,,,,,
983,escort,?몄쐞?섎떎,以묎퀬,,,,,,
984,especially,?뱁엳,以묎퀬,,,,,,
985,essential,蹂몄쭏?곸씤,以묎퀬,,,,,,
986,establish,?뺣┰?섎떎,以묎퀬,,,,,,
987,estate,?좎?,?꾨Ц,,,,,,
